,Homeowner,Number_of_Children,Income,Gender,Wealth,Avg_Home_Value,Median_Family_Income,Average_Family_Income,Number_of_Promotions,Lifetime_Gifts_TD,Max_Gifts_TD,Recent_Gift,Months_Since_Last_Donation,Timelag,Avg_Gift,Donor,Donation_Amt,Percent_Donation
542,1,1,5,1,3,563,414,430,60,80.0,7.0,5.0,30,7,5.333333333,1,5.0,1.1627906976744187
545,1,1,4,1,8,245,91,130,34,50.0,10.0,10.0,35,4,6.25,1,8.0,6.153846153846154
549,1,1,4,1,7,776,347,411,157,946.0,27.0,19.0,17,5,10.62921348,1,32.0,7.785888077858881
552,1,1,5,1,4,420,141,253,75,172.0,20.0,20.0,32,12,10.75,1,20.0,7.905138339920949
553,1,1,4,1,8,1955,466,543,37,48.0,10.0,10.0,32,10,8.0,1,10.0,1.841620626151013
556,1,1,1,1,7,1137,461,468,68,119.0,10.0,10.0,29,4,4.576923077,1,10.0,2.1367521367521367
557,1,1,3,1,7,1330,496,550,50,86.0,7.0,5.0,28,3,5.375,1,5.0,0.9090909090909091
558,1,1,3,1,8,810,352,364,18,30.0,10.0,10.0,29,5,10.0,1,10.0,2.7472527472527473
560,0,1,1,1,1,867,259,321,38,49.0,10.0,10.0,28,8,7.0,1,10.0,3.115264797507788
563,1,1,4,1,8,1658,223,309,47,51.0,5.0,3.0,18,4,3.642857143,1,3.0,0.9708737864077669
566,1,1,6,1,8,2431,646,725,24,52.0,12.0,8.0,30,5,7.428571429,1,8.0,1.103448275862069
568,1,1,4,1,3,1538,441,485,48,68.0,10.0,10.0,31,20,6.8,1,10.0,2.0618556701030926
570,0,1,1,1,2,247,241,251,67,90.5,5.0,5.0,30,3,2.445945946,1,6.0,2.3904382470119523
571,1,1,4,1,8,833,406,444,21,22.0,10.0,7.0,30,5,7.333333333,1,20.0,4.504504504504505
573,1,1,4,1,1,427,244,276,74,120.0,10.0,10.0,29,5,6.0,1,8.0,2.898550724637681
574,0,1,2,0,9,740,349,397,119,247.0,20.0,13.0,19,9,11.22727273,1,20.0,5.037783375314862
576,1,1,2,1,2,875,224,271,78,328.0,15.0,11.0,17,1,8.864864865,1,15.0,5.535055350553505
577,1,1,2,1,8,845,488,530,22,20.0,10.0,10.0,30,3,6.666666667,1,6.0,1.1320754716981132
580,1,1,4,0,8,902,426,463,28,35.0,15.0,15.0,37,8,11.66666667,1,15.0,3.2397408207343417
581,1,1,3,0,5,380,206,235,36,65.0,20.0,20.0,29,11,13.0,1,15.0,6.382978723404255
583,1,1,1,1,8,1197,212,270,22,46.0,11.0,10.0,31,2,7.666666667,1,5.0,1.8518518518518516
587,1,1,6,0,8,5945,1500,1228,23,45.0,25.0,25.0,33,4,22.5,1,22.0,1.7915309446254073
594,1,1,4,0,8,382,246,300,41,57.0,10.0,10.0,32,5,8.142857142999999,1,10.0,3.3333333333333335
596,1,1,4,1,9,1397,526,538,81,110.0,10.0,5.0,17,25,7.333333333,1,5.0,0.929368029739777
597,1,1,5,1,8,614,308,340,50,47.0,7.0,7.0,29,2,4.272727273,1,5.0,1.4705882352941175
600,1,1,5,1,8,1912,515,497,46,71.0,5.0,5.0,31,5,3.55,1,3.0,0.6036217303822937
601,0,1,1,0,8,514,335,326,29,35.0,20.0,20.0,35,6,11.66666667,1,10.0,3.067484662576687
603,0,1,3,1,2,426,220,260,60,73.0,12.0,10.0,30,2,5.615384615,1,7.0,2.6923076923076925
605,1,1,7,1,8,2044,585,635,59,75.0,7.0,5.0,31,2,5.3571428569999995,1,10.0,1.574803149606299
606,1,1,4,0,8,934,406,390,27,27.0,10.0,7.0,30,9,6.75,1,7.0,1.7948717948717947
613,1,1,4,0,1,1100,357,382,55,93.0,12.0,12.0,32,6,8.454545455,1,11.0,2.8795811518324608
617,1,1,3,0,5,490,288,307,46,104.0,10.0,5.0,29,5,6.5,1,5.0,1.6286644951140066
620,1,1,6,1,8,2203,561,569,73,145.0,10.0,8.0,32,9,6.590909091,1,10.0,1.7574692442882252
623,0,1,5,1,8,1700,524,616,40,62.0,10.0,10.0,30,4,7.75,1,8.0,1.2987012987012987
627,1,1,4,0,3,771,295,377,79,186.0,15.0,10.0,28,1,5.6363636360000005,1,15.0,3.978779840848806
631,0,1,5,0,8,1579,476,610,20,50.0,50.0,50.0,37,5,50.0,1,75.0,12.295081967213115
632,1,1,4,1,2,467,225,287,45,201.0,10.0,10.0,30,4,7.444444444,1,10.0,3.484320557491289
634,1,1,6,1,8,2090,398,426,33,46.0,10.0,5.0,30,3,4.6,1,7.0,1.643192488262911
635,1,1,4,0,8,1835,465,493,27,36.0,7.0,4.0,31,0,5.1428571430000005,1,5.0,1.0141987829614605
636,1,1,4,0,8,4142,731,774,54,75.0,23.0,20.0,34,11,18.75,1,23.0,2.9715762273901807
638,1,1,7,1,8,1658,463,597,30,57.0,13.0,11.0,35,2,11.4,1,5.0,0.8375209380234505
639,1,1,3,0,8,2855,447,566,19,25.0,15.0,15.0,29,7,12.5,1,5.0,0.88339222614841
641,1,1,6,1,8,2564,516,640,24,45.0,11.0,9.0,28,4,9.0,1,10.0,1.5625
642,1,1,1,0,1,476,227,272,54,90.0,15.0,15.0,35,2,12.85714286,1,21.0,7.720588235294118
645,0,1,3,1,8,1507,341,519,82,182.0,20.0,10.0,36,2,10.70588235,1,10.0,1.9267822736030826
646,1,1,7,0,9,1654,517,601,55,123.0,10.0,10.0,32,1,7.6875,1,10.0,1.6638935108153077
648,1,1,4,1,8,1091,164,244,23,45.0,20.0,20.0,31,4,15.0,1,15.0,6.147540983606557
649,0,1,4,0,5,419,351,363,86,229.0,12.0,4.0,28,10,6.1891891889999995,1,6.0,1.6528925619834711
651,0,1,4,0,8,594,322,378,38,74.0,10.0,10.0,33,4,6.727272727000001,1,14.0,3.7037037037037033
652,1,1,2,1,7,2615,502,551,54,66.0,6.0,5.0,31,5,4.714285714,1,4.0,0.7259528130671506
653,1,1,4,0,8,782,385,376,68,85.0,10.0,10.0,31,5,4.722222222,1,7.0,1.8617021276595744
656,1,1,3,1,8,1535,346,414,37,94.0,15.0,13.0,29,1,10.44444444,1,12.0,2.898550724637681
658,1,1,6,1,8,2523,471,571,16,20.0,20.0,20.0,37,5,20.0,1,8.0,1.4010507880910683
660,1,1,4,1,8,1321,559,571,44,60.0,10.0,5.0,29,10,6.0,1,5.0,0.8756567425569177
661,1,1,3,1,8,572,236,265,35,30.0,5.0,5.0,31,8,4.285714286,1,5.0,1.8867924528301887
663,1,1,3,1,8,834,393,441,42,40.0,10.0,3.0,30,5,4.0,1,3.0,0.6802721088435374
664,1,1,5,0,9,1425,545,628,80,234.0,30.0,25.0,31,7,14.625,1,32.0,5.095541401273886
665,1,1,2,0,7,1049,496,540,64,160.0,20.0,20.0,31,4,12.30769231,1,15.0,2.7777777777777777
667,1,1,2,1,8,1551,357,404,28,34.0,6.0,5.0,28,3,4.8571428569999995,1,5.0,1.2376237623762376
670,1,1,4,1,6,1528,485,537,49,55.0,5.0,5.0,28,8,5.0,1,5.0,0.931098696461825
671,1,1,5,1,2,1224,299,324,39,129.0,13.0,13.0,30,9,9.923076923,1,12.0,3.7037037037037033
674,1,1,5,1,7,477,319,364,69,89.0,10.0,10.0,35,7,5.2352941180000006,1,10.0,2.7472527472527473
675,0,1,2,1,8,692,197,243,33,69.0,20.0,10.0,28,2,9.857142857000001,1,20.0,8.23045267489712
676,1,1,4,1,5,598,146,187,76,181.0,10.0,10.0,31,14,5.484848485,1,5.0,2.6737967914438503
677,1,1,6,0,4,0,0,0,52,124.0,11.0,11.0,29,3,8.266666667,1,15.0,inf
678,1,1,3,1,8,5588,812,903,33,41.0,10.0,5.0,28,5,4.1,1,5.0,0.5537098560354374
679,1,1,3,1,8,541,273,326,22,24.0,10.0,9.0,29,4,8.0,1,5.0,1.5337423312883436
680,1,1,3,1,2,528,263,279,71,110.0,10.0,10.0,36,12,6.875,1,10.0,3.584229390681003
684,1,1,4,1,9,1049,823,793,32,81.0,12.0,10.0,31,8,5.785714286,1,5.0,0.6305170239596469
685,1,1,4,1,7,728,300,340,55,105.0,15.0,15.0,36,27,13.125,1,25.0,7.352941176470589
686,1,1,5,0,8,3679,403,448,55,45.0,5.0,5.0,29,5,3.461538462,1,5.0,1.1160714285714286
687,1,1,5,1,7,894,381,419,69,108.0,16.0,10.0,23,12,10.8,1,20.0,4.77326968973747
689,1,1,5,0,8,1565,508,534,61,51.0,7.0,7.0,30,9,3.642857143,1,5.0,0.9363295880149813
691,1,1,6,0,8,1939,511,523,14,25.0,25.0,25.0,35,5,25.0,1,25.0,4.780114722753346
693,1,1,5,1,8,509,299,323,58,78.0,10.0,6.0,30,13,5.571428571,1,8.0,2.476780185758514
695,1,1,5,1,2,1436,292,359,74,346.0,20.0,15.0,33,6,11.53333333,1,14.0,3.8997214484679668
697,1,1,3,0,8,483,308,314,37,36.0,10.0,1.0,28,3,4.0,1,5.0,1.5923566878980893
698,1,1,4,1,8,1663,347,399,41,103.0,10.0,8.0,32,5,7.923076922999999,1,10.0,2.506265664160401
701,1,1,4,1,6,694,358,386,72,119.0,7.0,4.0,28,5,4.958333333,1,4.0,1.0362694300518136
702,1,1,4,1,8,5212,931,931,19,25.0,25.0,25.0,37,5,25.0,1,30.0,3.22234156820623
704,1,1,5,0,8,457,307,338,24,29.0,7.0,7.0,29,3,5.8,1,5.0,1.4792899408284024
705,0,1,5,1,8,2109,540,896,34,65.0,13.0,10.0,29,8,8.125,1,10.0,1.1160714285714286
706,0,1,4,1,8,897,533,605,21,29.0,10.0,9.0,29,7,7.25,1,10.0,1.6528925619834711
708,1,1,5,0,4,1039,604,684,74,105.0,5.0,5.0,28,4,5.0,1,5.0,0.7309941520467835
710,1,1,4,0,8,977,464,486,64,101.0,7.0,5.0,31,4,4.590909091,1,5.0,1.02880658436214
713,1,1,4,1,8,760,470,481,25,45.0,13.0,10.0,28,11,11.25,1,15.0,3.118503118503119
714,1,1,4,1,7,1028,418,494,60,218.0,11.0,10.0,36,4,7.785714286,1,10.0,2.0242914979757085
720,1,1,5,0,8,580,264,319,39,110.0,11.0,8.0,30,4,8.461538462,1,11.0,3.4482758620689653
723,1,1,4,0,9,3750,777,818,54,60.0,5.0,5.0,31,12,4.285714286,1,4.0,0.4889975550122249
724,1,1,5,1,5,2229,473,483,74,197.0,14.0,14.0,30,7,8.565217391000001,1,13.0,2.691511387163561
726,1,1,1,1,1,307,163,185,73,150.0,7.0,5.0,29,7,4.838709677,1,5.0,2.7027027027027026
732,0,1,4,1,8,1326,550,603,28,49.0,7.0,5.0,32,2,5.444444444,1,5.0,0.8291873963515755
733,1,1,2,0,8,663,294,338,25,32.0,10.0,10.0,30,5,8.0,1,9.0,2.6627218934911245
735,0,1,2,1,0,351,257,285,73,164.0,10.0,10.0,31,4,5.655172414,1,5.0,1.7543859649122806
737,1,1,5,1,8,942,426,475,42,49.0,17.0,17.0,36,3,8.166666667000001,1,25.0,5.263157894736842
739,1,1,2,0,8,467,292,325,27,55.0,6.0,6.0,30,4,5.0,1,9.0,2.769230769230769
741,1,1,6,1,9,1451,575,662,67,107.0,10.0,10.0,30,15,8.230769231,1,10.0,1.5105740181268883
745,1,1,5,1,8,542,303,384,31,45.0,10.0,10.0,30,5,5.625,1,11.0,2.864583333333333
748,1,1,5,0,5,1231,387,435,79,143.0,16.0,15.0,29,8,11.0,1,10.0,2.2988505747126435
749,1,1,7,1,0,298,72,94,72,222.0,21.0,19.0,31,10,13.875,1,25.0,26.595744680851062
751,1,1,4,1,8,461,249,287,23,40.0,20.0,10.0,28,3,13.33333333,1,10.0,3.484320557491289
752,1,1,4,0,6,2291,480,539,122,627.0,50.0,20.0,21,2,24.11538462,1,25.0,4.638218923933209
753,1,1,1,1,3,381,157,192,55,88.0,5.0,5.0,28,7,2.588235294,1,3.0,1.5625
754,1,1,5,1,7,1218,613,689,69,127.0,10.0,10.0,30,20,9.071428571,1,9.0,1.3062409288824384
757,1,1,5,1,9,1122,584,633,79,505.0,75.0,40.0,32,12,42.08333333,1,50.0,7.898894154818326
758,1,1,3,1,7,724,399,443,59,180.0,19.0,10.0,28,8,7.826086957,1,10.0,2.2573363431151243
762,1,1,6,1,8,2523,570,669,26,39.0,10.0,10.0,30,1,7.8,1,10.0,1.4947683109118086
763,1,1,4,0,8,727,364,406,23,40.0,20.0,8.0,28,5,10.0,1,11.0,2.70935960591133
767,1,1,4,1,8,1246,354,425,60,94.0,6.0,5.0,30,13,4.476190476,1,5.0,1.1764705882352942
768,0,1,6,1,8,1219,549,612,26,40.0,20.0,20.0,36,18,20.0,1,20.0,3.2679738562091507
772,0,1,1,0,4,442,315,343,52,134.0,20.0,20.0,30,10,16.75,1,20.0,5.830903790087463
773,0,1,6,0,9,812,445,467,66,219.0,10.0,10.0,35,11,9.125,1,12.5,2.676659528907923
776,1,1,6,0,1,569,227,285,63,101.0,5.0,2.0,30,3,2.4634146340000003,1,5.0,1.7543859649122806
777,1,1,5,1,8,293,212,265,40,47.0,15.0,15.0,37,5,9.4,1,25.0,9.433962264150944
778,0,1,1,1,2,338,145,218,79,155.0,15.0,10.0,17,5,9.6875,1,20.0,9.174311926605505
781,1,1,4,0,3,468,313,337,66,84.0,5.0,5.0,30,3,4.2,1,5.0,1.483679525222552
783,1,1,3,1,8,1136,246,344,24,25.0,10.0,5.0,33,8,6.25,1,6.0,1.744186046511628
784,1,1,2,1,8,1772,418,492,30,30.0,15.0,15.0,36,10,10.0,1,15.0,3.048780487804878
785,1,1,5,1,8,942,453,472,52,77.0,20.0,15.0,33,9,12.83333333,1,20.0,4.23728813559322
786,1,1,4,1,8,917,295,378,27,29.0,5.0,5.0,29,15,4.1428571430000005,1,5.0,1.3227513227513228
787,0,1,5,0,7,2387,516,514,55,175.0,25.0,20.0,37,7,21.875,1,30.0,5.836575875486381
788,1,1,2,1,5,680,306,341,51,96.0,9.0,6.0,31,4,5.052631579,1,5.0,1.466275659824047
790,1,1,4,1,4,632,346,381,49,58.0,10.0,10.0,37,2,2.636363636,1,10.0,2.6246719160104988
797,0,1,1,1,1,504,208,253,63,100.0,20.0,15.0,37,9,14.28571429,1,20.0,7.905138339920949
802,1,1,4,1,8,758,264,312,51,84.0,13.0,13.0,31,7,7.0,1,12.0,3.8461538461538463
803,1,1,4,1,2,1303,314,373,50,82.0,12.0,10.0,31,6,9.111111111,1,14.0,3.753351206434316
804,1,1,3,1,8,1324,568,599,28,47.0,7.0,6.0,31,4,5.222222222,1,5.0,0.8347245409015025
807,1,1,5,1,7,1739,391,409,51,105.0,9.0,7.0,32,9,6.5625,1,7.0,1.7114914425427872
809,1,1,7,1,8,1325,727,743,25,31.0,7.0,7.0,29,6,6.2,1,6.0,0.8075370121130552
813,1,1,4,1,8,639,195,231,33,68.0,15.0,13.0,37,2,9.714285713999999,1,5.0,2.1645021645021645
814,1,1,4,1,0,546,238,273,63,122.0,10.0,5.0,30,2,3.8125,1,3.0,1.098901098901099
816,1,1,2,1,8,935,301,316,16,20.0,20.0,20.0,36,5,20.0,1,20.0,6.329113924050633
819,1,1,4,1,8,802,457,492,48,72.0,12.0,3.0,19,14,8.0,1,5.0,1.0162601626016259
821,1,1,7,0,2,525,317,372,33,53.0,11.0,9.0,29,9,8.833333332999999,1,9.0,2.4193548387096775
823,1,1,7,1,8,1508,617,680,43,63.0,12.0,11.0,36,3,9.0,1,11.0,1.6176470588235297
824,1,1,2,1,9,1150,573,653,48,120.65,25.0,10.0,29,7,10.96818182,1,5.0,0.7656967840735069
827,1,1,6,0,9,5932,1434,1142,59,183.0,15.0,15.0,34,3,9.631578947000001,1,15.0,1.3134851138353765
829,1,1,4,1,8,973,366,381,18,15.0,15.0,15.0,37,5,15.0,1,7.0,1.837270341207349
831,1,1,5,0,8,1669,435,525,54,94.0,10.0,7.0,28,2,7.230769231,1,3.0,0.5714285714285714
833,0,1,1,1,8,650,277,327,42,76.0,12.0,12.0,32,8,9.5,1,15.0,4.587155963302752
837,0,1,7,1,1,351,192,239,54,93.5,15.0,15.0,36,9,5.194444444,1,14.0,5.857740585774058
839,1,1,4,1,8,1342,566,606,57,77.0,15.0,15.0,37,5,8.555555556,1,15.0,2.4752475247524752
840,0,1,3,1,8,598,267,325,24,51.0,10.0,10.0,31,1,8.5,1,20.0,6.153846153846154
841,1,1,4,1,8,442,281,313,30,37.0,8.0,5.0,31,4,5.285714286,1,6.0,1.9169329073482428
843,1,1,4,0,6,713,362,411,71,170.0,12.0,12.0,31,6,8.5,1,11.0,2.67639902676399
844,1,1,1,1,8,760,390,386,80,110.0,5.0,5.0,32,7,4.4,1,10.0,2.5906735751295336
847,1,1,7,1,8,1082,587,631,20,25.0,11.0,11.0,31,3,8.333333332999999,1,8.0,1.2678288431061806
848,1,1,7,0,3,1124,419,452,41,50.0,20.0,5.0,31,24,10.0,1,5.0,1.1061946902654867
849,1,1,4,1,7,568,416,470,48,52.0,15.0,15.0,34,13,10.4,1,20.0,4.25531914893617
851,1,1,4,1,4,633,317,406,40,63.0,12.0,12.0,29,9,9.0,1,16.0,3.9408866995073892
852,1,1,5,1,4,554,292,306,71,188.0,20.0,20.0,36,20,17.09090909,1,20.0,6.535947712418301
853,1,1,2,1,8,1222,424,494,29,33.0,6.0,3.0,17,4,4.125,1,3.0,0.6072874493927125
856,1,1,4,1,4,362,312,320,35,45.0,15.0,15.0,35,9,15.0,1,21.0,6.5625
860,1,1,6,0,8,729,339,369,39,225.0,50.0,50.0,32,4,22.5,1,20.0,5.420054200542006
861,1,1,1,1,8,702,238,321,71,208.0,11.0,9.0,30,6,7.428571429,1,10.0,3.115264797507788
862,1,1,4,1,8,721,269,333,63,57.0,7.0,7.0,29,5,3.8,1,5.0,1.5015015015015014
864,1,1,7,1,8,2184,655,709,34,52.0,9.0,6.0,30,5,6.5,1,6.0,0.846262341325811
869,1,1,3,1,8,1217,297,368,27,86.0,16.0,10.0,31,1,12.28571429,1,20.0,5.434782608695652
870,1,1,4,0,7,589,437,454,71,118.0,10.0,10.0,30,3,7.375,1,10.0,2.2026431718061676
871,1,1,5,1,5,807,399,386,57,112.0,10.0,8.0,31,4,6.5882352939999995,1,8.0,2.072538860103627
874,1,1,7,0,8,3704,671,793,20,20.0,15.0,15.0,37,5,10.0,1,15.0,1.8915510718789406
876,1,1,1,1,8,1138,424,441,25,34.0,5.0,5.0,30,1,4.25,1,5.0,1.1337868480725624
879,0,1,2,1,0,446,256,256,70,107.0,8.0,6.0,32,9,4.8636363639999995,1,6.0,2.34375
880,0,1,5,1,8,1519,650,705,49,91.0,15.0,10.0,35,5,7.583333333,1,10.0,1.4184397163120568
881,1,1,3,1,9,685,456,484,44,75.0,20.0,20.0,37,10,15.0,1,15.0,3.0991735537190084
882,1,1,4,1,8,542,222,267,57,43.25,5.0,3.0,29,17,2.883333333,1,3.0,1.1235955056179776
886,1,1,5,0,6,531,179,215,42,44.0,7.0,6.0,31,3,5.5,1,6.0,2.7906976744186047
887,1,1,4,0,1,0,0,0,63,75.0,10.0,10.0,30,8,6.25,1,10.0,inf
888,1,1,4,0,8,617,367,399,21,34.0,12.0,12.0,31,6,11.33333333,1,3.0,0.7518796992481203
889,1,1,6,0,7,1345,508,616,73,106.75,7.0,4.0,28,14,4.105769231,1,4.0,0.6493506493506493
890,1,1,4,0,6,2453,453,537,62,159.0,32.0,32.0,31,23,17.66666667,1,34.0,6.33147113594041
893,0,1,2,1,7,971,481,524,57,129.0,20.0,6.0,28,3,12.9,1,20.0,3.816793893129771
894,1,1,2,1,0,238,148,179,84,185.0,6.0,5.0,30,2,4.302325581,1,5.0,2.793296089385475
895,1,1,4,1,8,894,473,496,32,42.0,7.0,7.0,32,3,5.25,1,5.0,1.0080645161290323
901,1,1,5,1,2,643,210,255,76,169.0,20.0,20.0,36,8,11.26666667,1,10.0,3.9215686274509802
902,1,1,1,1,8,1070,247,313,89,101.0,7.0,5.0,22,2,5.05,1,5.0,1.5974440894568689
904,1,1,4,1,8,863,403,438,65,250.0,24.0,24.0,35,13,12.5,1,20.0,4.5662100456621
906,0,1,4,1,5,3063,754,692,82,174.0,10.0,5.0,30,5,5.272727273,1,5.0,0.7225433526011561
908,1,1,4,1,0,576,223,253,70,137.0,15.0,14.0,33,2,8.058823529,1,20.0,7.905138339920949
909,1,1,4,1,8,342,169,216,84,306.0,25.0,20.0,37,5,10.55172414,1,10.0,4.62962962962963
910,1,1,4,1,5,788,266,312,45,152.0,20.0,20.0,31,17,12.66666667,1,20.0,6.41025641025641
911,0,1,2,0,3,607,341,414,74,161.0,10.0,10.0,36,13,8.473684211,1,12.0,2.898550724637681
913,1,1,4,1,3,303,294,338,51,181.0,25.0,10.0,18,6,12.92857143,1,11.0,3.2544378698224854
916,1,1,2,0,8,592,282,316,36,50.0,20.0,20.0,37,3,10.0,1,20.0,6.329113924050633
917,1,1,2,0,4,205,345,363,80,112.0,12.0,11.0,32,10,8.615384615,1,10.0,2.7548209366391188
918,1,1,4,1,8,744,304,355,26,26.0,10.0,6.0,28,5,6.5,1,10.0,2.8169014084507045
922,1,1,1,0,8,646,358,373,74,104.01,5.0,3.0,20,16,3.35516129,1,3.0,0.8042895442359249
924,1,1,4,1,8,2194,314,395,34,46.0,20.0,20.0,36,7,15.33333333,1,20.0,5.063291139240507
926,1,1,6,0,8,1413,445,466,38,50.0,10.0,10.0,32,9,5.0,1,6.0,1.2875536480686696
927,0,1,6,0,8,794,530,578,46,85.0,15.0,15.0,37,19,12.14285714,1,17.0,2.941176470588235
929,1,1,2,0,0,573,193,236,70,96.0,6.0,5.0,30,3,4.0,1,5.0,2.11864406779661
930,0,1,2,1,0,555,330,350,78,98.0,7.0,5.0,28,3,3.0625,1,5.0,1.4285714285714286
931,1,1,4,1,5,1095,602,631,59,89.0,10.0,8.0,31,7,6.357142857,1,13.0,2.0602218700475436
932,1,1,4,1,8,2500,363,363,30,29.0,5.0,5.0,31,6,4.1428571430000005,1,6.0,1.6528925619834711
934,1,1,2,1,8,3111,292,338,38,66.0,15.0,15.0,31,4,13.2,1,15.0,4.437869822485207
935,1,1,2,1,8,996,241,263,36,55.0,8.0,8.0,30,5,6.1111111110000005,1,13.92,5.2927756653992395
936,1,1,7,1,8,3614,423,514,56,80.0,11.0,8.0,30,8,6.153846154,1,10.0,1.9455252918287937
939,1,1,4,1,2,271,274,304,64,102.0,15.0,15.0,33,8,11.33333333,1,15.0,4.934210526315789
940,1,1,4,1,8,484,239,288,35,69.0,6.0,6.0,32,2,4.3125,1,4.0,1.3888888888888888
944,1,1,4,1,8,872,371,423,31,31.0,5.0,3.0,29,5,3.4444444439999997,1,3.0,0.7092198581560284
945,1,1,2,1,3,407,240,287,47,186.0,60.0,50.0,34,5,37.2,1,20.0,6.968641114982578
946,1,1,6,1,6,1895,458,490,42,123.0,12.0,8.0,37,2,7.6875,1,5.0,1.0204081632653061
947,1,1,7,1,5,2519,425,500,87,276.0,12.0,8.0,21,7,9.517241379,1,10.0,2.0
948,0,1,6,0,8,1614,667,744,28,47.0,32.0,32.0,37,8,15.66666667,1,25.0,3.3602150537634405
950,1,1,6,0,8,3877,669,729,53,83.0,20.0,20.0,37,3,11.85714286,1,20.0,2.7434842249657065
951,1,1,5,1,8,821,422,464,62,97.0,11.0,7.0,29,4,6.466666667,1,15.0,3.2327586206896552
956,1,1,5,1,8,801,545,566,40,70.0,7.0,7.0,31,5,5.833333333,1,10.0,1.76678445229682
958,0,1,5,0,6,450,262,287,79,220.5,15.0,7.0,31,0,5.95945946,1,6.0,2.0905923344947737
963,0,1,2,0,8,484,328,355,71,106.0,10.0,10.0,30,4,5.3,1,10.0,2.8169014084507045
964,1,1,4,0,8,694,238,262,39,92.0,20.0,20.0,33,4,15.33333333,1,10.0,3.816793893129771
966,1,1,3,1,6,990,380,432,69,163.0,12.0,12.0,33,3,8.578947368,1,10.0,2.314814814814815
967,0,1,3,0,9,625,348,402,63,92.0,11.0,10.0,31,11,7.076923077000001,1,10.0,2.4875621890547266
968,1,1,1,1,8,641,426,413,122,219.0,9.0,7.0,21,5,6.84375,1,7.0,1.694915254237288
969,1,1,5,0,7,728,357,376,44,132.0,25.0,25.0,37,9,16.5,1,32.0,8.51063829787234
970,0,1,1,1,8,538,152,197,22,31.0,5.0,3.0,28,1,3.4444444439999997,1,3.0,1.5228426395939088
972,1,1,4,1,8,522,307,321,29,32.0,10.0,5.0,29,4,6.4,1,7.0,2.1806853582554515
973,1,1,7,1,6,1434,449,485,60,129.0,13.0,5.0,37,4,8.0625,1,13.0,2.6804123711340204
975,1,1,4,0,8,973,502,496,52,53.0,12.0,12.0,29,8,4.416666667,1,3.0,0.6048387096774194
976,1,1,6,0,0,1213,401,449,40,186.0,31.0,31.0,31,6,26.57142857,1,43.0,9.57683741648107
978,1,1,1,0,2,710,249,328,85,153.0,7.0,7.0,24,3,5.1,1,12.0,3.6585365853658534
979,1,1,5,1,8,347,252,326,58,127.0,40.0,9.0,34,13,9.071428571,1,9.0,2.7607361963190185
981,1,1,4,0,8,1360,524,521,27,33.0,7.0,6.0,31,1,5.5,1,8.0,1.5355086372360844
982,0,1,1,0,8,384,274,350,20,20.0,15.0,15.0,31,6,10.0,1,10.0,2.857142857142857
990,0,1,1,0,3,799,288,351,52,152.0,25.0,12.0,31,7,12.66666667,1,12.0,3.418803418803419
991,1,1,4,1,3,1054,319,379,71,197.0,20.0,15.0,37,9,14.07142857,1,20.0,5.277044854881266
992,1,1,5,1,9,1785,663,737,44,58.0,20.0,20.0,37,10,14.5,1,20.0,2.7137042062415198
995,1,1,4,0,3,1036,275,319,82,202.0,15.0,8.0,30,11,6.3125,1,6.0,1.8808777429467085
996,0,1,1,1,0,0,147,186,71,99.0,6.0,5.0,31,5,4.5,1,5.0,2.6881720430107525
1001,1,1,6,1,9,3761,768,826,80,311.07,60.0,60.0,33,2,8.887714286,1,11.0,1.331719128329298
1002,1,1,4,1,8,548,197,244,64,81.0,7.0,5.0,28,1,4.5,1,5.0,2.0491803278688523
1004,1,1,4,1,8,407,172,266,31,64.0,12.0,12.0,31,4,10.66666667,1,11.0,4.135338345864661
1006,0,1,1,1,8,448,231,348,29,52.0,11.0,10.0,36,2,8.666666667000001,1,10.0,2.8735632183908044
1007,1,1,4,1,3,2842,305,376,58,158.0,11.0,10.0,32,3,7.523809524,1,10.0,2.6595744680851063
1008,1,1,4,0,8,1896,394,488,57,102.0,10.0,10.0,17,3,7.846153846,1,10.0,2.0491803278688523
1010,1,1,4,0,8,490,324,353,25,27.0,6.0,4.0,28,5,4.5,1,4.0,1.13314447592068
1011,0,1,2,0,1,406,235,275,70,175.0,15.0,10.0,28,9,9.722222222000001,1,10.0,3.6363636363636362
1012,1,1,4,1,8,593,307,349,34,55.0,10.0,10.0,35,6,9.166666667000001,1,10.0,2.865329512893983
1017,0,1,6,0,4,721,269,333,67,111.0,20.0,20.0,36,2,9.25,1,20.0,6.006006006006006
1018,1,1,2,1,8,1169,363,404,27,29.0,10.0,5.0,28,2,4.833333333,1,5.0,1.2376237623762376
1023,1,1,4,0,8,3111,347,380,30,37.0,6.0,4.0,31,6,4.1111111110000005,1,4.0,1.0526315789473684
1024,1,1,4,1,8,2932,767,835,25,30.0,10.0,10.0,29,5,7.5,1,8.0,0.9580838323353293
1027,0,1,5,0,4,681,318,362,64,91.0,8.0,3.0,33,4,5.055555556,1,5.0,1.3812154696132597
1028,1,1,3,1,8,830,488,555,64,188.0,18.0,14.0,31,13,11.05882353,1,14.0,2.5225225225225225
1030,1,1,5,1,3,1066,323,396,58,186.0,18.0,15.0,30,5,11.625,1,15.0,3.787878787878788
1031,1,1,2,0,2,506,214,235,50,68.0,15.0,10.0,28,11,9.714285713999999,1,12.0,5.106382978723404
